"0x6e00","KEY_MINUS","0x00FF","Volume Down"
"0x6e01","KEY_EQUAL","0x807F","Volume Up"
"0x6e02","KEY_POWER","0x40BF","Power"
"0x6e03","KEY_Z","0xC03F","Rewind"
"0x6e04","KEY_C","0x20DF","Pause"
"0x6e05","KEY_B","0xA05F","Forward"
"0x6e06","KEY_A","0x609F","Add"
"0x6e08","KEY_P","0x10EF","Play"
"0x6e07","KEY_UP","0xE01F","Up"
"0x6e09","KEY_LEFT","0x906F","Left"
"0x6e0b","KEY_RIGHT","0xD02F","Right"
"0x6e0d","KEY_DOWN","0xB04F","Down"
"0x6e0f","KEY_1","0xF00F","1"
"0x6e10","KEY_2","0x08F7","2"
"0x6e11","KEY_3","0x8877","3"
"0x6e12","KEY_4","0x48B7","4"
"0x6e13","KEY_5","0xC837","5"
"0x6e14","KEY_6","0x28D7","6"
"0x6e15","KEY_7","0xA857","7"
"0x6e16","KEY_8","0x6897","8"
"0x6e17","KEY_9","0xE817","9"
"0x6e19","KEY_0","0x9867","0"
"0x6e18","KEY_F","0x18E7","Favourites"
"0x6e47","KEY_F","0xE21D","Touch:Favourites"
"0x6e1a","KEY_SLASH","0x58A7","Search"
"0x6e46","KEY_SLASH","0x629D","Touch:Search"
"0x6e1b","KEY_COMMA","0xD827","Shuffle"
"0x6e1c","KEY_DOT","0x38C7","Repeat"
"0x6e1d","KEY_ESC","0xB847","Sleep"
"0x6e1e","KEY_LEFTBRACE","0x7887","NowPlaying"
"0x6e45","KEY_LEFTBRACE","0xA25D","Touch:Now Playing"
"0x6e1f","KEY_G","0xF807","Size"
"0x6e0e","KEY_SEMICOLON","0x708F","Touch:Browse"
"0x6e20","KEY_L","0x04FB","Brightness"
"0x6e44","KEY_H","0x22DD","Touch:Home"
